policy,n_trades,hit_rate,avg_ret,tot_ret,sharpe,max_dd,fee_bps,k
F1 t*,124,0.5403225806451613,0.0038064503276372657,0.511835321165766,0.12424876476986575,0.20351849378244546,20,12
Money t*,0,,0.0,0.0,,0.0,20,12
